alderman,thirds,Meetings_Attended,Total_Meetings,Attendance %
"Waguespack, Scott",6,17,26,0.653846154
"Waguespack, Scott",7,12,19,0.631578947
"Waguespack, Scott",8,15,20,0.75
"Waguespack, Scott",9,18,22,0.818181818
"Waguespack, Scott",10,18,22,0.818181818
"Waguespack, Scott",11,9,13,0.692307692
"Waguespack, Scott",12,19,22,0.863636364
"Waguespack, Scott",13,14,17,0.823529412
"Waguespack, Scott",14,8,11,0.727272727
"Waguespack, Scott",15,14,20,0.7
"Waguespack, Scott",16,18,20,0.9
"Waguespack, Scott",17,15,17,0.882352941
"Waguespack, Scott",18,28,30,0.933333333
"Zalewski, Michael R.",1,9,9,1
"Zalewski, Michael R.",2,20,20,1
"Zalewski, Michael R.",3,18,27,0.666666667
"Zalewski, Michael R.",4,11,20,0.55
"Zalewski, Michael R.",5,10,20,0.5
"Zalewski, Michael R.",6,12,29,0.413793103
"Zalewski, Michael R.",7,11,16,0.6875
"Zalewski, Michael R.",8,14,24,0.583333333
"Zalewski, Michael R.",9,11,26,0.423076923
"Zalewski, Michael R.",10,7,14,0.5
"Zalewski, Michael R.",11,7,12,0.583333333
"Zalewski, Michael R.",12,13,20,0.65
"Zalewski, Michael R.",13,5,14,0.357142857
"Zalewski, Michael R.",14,6,10,0.6
"Zalewski, Michael R.",15,11,19,0.578947368
"Zalewski, Michael R.",16,13,18,0.722222222
"Zalewski, Michael R.",17,9,16,0.5625
"Zalewski, Michael R.",18,15,26,0.576923077
