"(u'Moore, Joseph', u'Joint Committee: Education and Child Development; Health and Environmental Protection')","{'start_date': u'2016-08-26T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Mell, Deborah', u'Joint Committee: Finance; License and Consumer Protection')","{'start_date': u'2015-03-18T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Mitts, Emma', u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Waguespack, Scott', u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Graham, Deborah L.', u'Joint Committee: Budget and Government Operations; License and Consumer Protection')","{'start_date': u'2010-03-26T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Solis, Daniel', u'City Council')","{'start_date': u'1995-03-06T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Newsome, Shirley', u'City Council')","{'start_date': u'2011-01-13T00:00:00', 'end_date': u'2011-05-15T00:00:00'}"
"(u'Solis, Daniel', u'Committee on Committees, Rules and Ethics')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Mitts, Emma', u'Committee on Health and Environmental Protection')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Burke, Edward M.', u'City Council')","{'start_date': u'1969-03-14T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Cochran, Willie', u'Joint Committee: Aviation; Finance')","{'start_date': u'2011-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Thomas, Latasha R.', u'Joint Committee: Education and Child Development; Health and Environmental Protection')","{'start_date': u'2014-03-11T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Cochran, Willie', u'Committee on Finance')","{'start_date': u'2011-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Balcer, James', u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Brookins, Jr., Howard', u'Committee on Committees, Rules and Ethics')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Sadlowski Garza, Susan', u'Committee on Special Events, Cultural Affairs and Recreation')","{'start_date': u'2015-05-20T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Solis, Daniel', u'Joint Committee: Human Relations; Public Safety')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Brookins, Jr., Howard', u'City Council')","{'start_date': u'2003-05-05T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Preckwinkle, Toni', u'Committee on Committees, Rules and Ethics')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2010-12-06T00:00:00'}"
"(u'Silverstein, Debra L.', u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Cullerton, Timothy M.', u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-01-13T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Doherty, Brian', u'Committee on Aviation')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2011-05-16T00:00:00'}"
"(u'Burns, William D.', u'Joint Committee: Finance; Transportation and Public Way')","{'start_date': u'2014-02-05T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Thomas, Latasha R.', u'Committee on Special Events, Cultural Affairs and Recreation')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Col\xf3n, Rey', u'Committee on Health and Environmental Protection')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Zalewski, Michael R.', u'Committee on Committees, Rules and Ethics')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Reboyras, Ariel', u'Joint Committee: Finance; Transportation and Public Way')","{'start_date': u'2014-02-05T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Moore, Joseph', u'Joint Committee: License and Consumer Protection; Human Relations')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Balcer, James', u'Joint Committee: Finance; Public Safety')","{'start_date': u'1997-12-10T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u""O'Connor, Patrick"", u'Committee on Aviation')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Scott, Jr. Michael', u'Joint Committee: Workforce Development and Audit; Committees, Rules and Ethics')","{'start_date': u'2015-12-04T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Tunney, Thomas', u'Joint Committee: Economic, Capital and Technology Development; Housing and Real Estate; Zoning, Landmarks and Building Standards')","{'start_date': u'2003-01-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Rice, John', u'Committee on Aviation')","{'start_date': u'2009-10-07T00:00:00', 'end_date': u'2011-05-16T00:00:00'}"
"(u'Cochran, Willie', u'Committee on Health and Environmental Protection')","{'start_date': u'2011-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Burns, William D.', u'Joint Committee; Finance; Public Safety')","{'start_date': u'2015-07-29T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Dowell, Pat', u'Joint Committee: Health and Environmental Protection; Housing and Real Estate')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Burke, Edward M.', u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Cochran, Willie', u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way')","{'start_date': u'2011-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Pope, John', u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Graham, Deborah L.', u'Committee on Special Events and Cultural Affairs')","{'start_date': u'2010-03-26T00:00:00', 'end_date': u'2011-05-16T00:00:00'}"
"(u'Harris, Michelle A.', u'Joint Committee: Finance; Zoning, Landmarks and Building Standards')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Pope, John', u'Joint Committee: Human Relations; Public Safety')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Sposato, Nicholas', u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Harris, Michelle A.', u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Col\xf3n, Rey', u'Committee on Finance')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Mitts, Emma', u'Committee on Budget and Government Operations')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Burns, William D.', u'Joint Committee: Finance; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Pawar, Ameya', u'Joint Committee: Human Relations; Public Safety')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Hairston, Leslie A.', u'Joint Committee: Aviation; Finance')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Ramirez-Rosa, Carlos', u'Joint Committee: Economic, Capital and Technology Development; Finance')","{'start_date': u'2015-09-24T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
