Committee on Aviation,2011-03-08T20:00:00+00:00,"Suarez, Regner Ray",confirmed
Committee on Aviation,2011-03-08T20:00:00+00:00,"Lyle, Freddrenna",confirmed
Committee on Aviation,2011-03-08T20:00:00+00:00,"Levar, Patrick",confirmed
Committee on Aviation,2011-03-08T20:00:00+00:00,"Rice, John",confirmed
Committee on Aviation,2011-03-08T20:00:00+00:00,"Solis, Daniel",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Jackson, Sandi",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Cochran, Willie",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Thompson, JoAnn",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Munoz, Ricardo",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Tunney, Thomas",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Burnett, Jr., Walter",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Schulter, Eugene",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Levar, Patrick",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Smith, Mary Ann",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Beale, Anthony",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Foulkes, Toni",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Ervin, Jason C.",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Austin, Carrie M.",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Newsome, Shirley",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Doherty, Brian",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Burke, Edward M.",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Cardenas, George A.",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Dixon, Sharon",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Suarez, Regner Ray",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Dowell, Pat",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Rice, John",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Reboyras, Ariel",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Waguespack, Scott",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Lane, Lona",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"ColÌ_n, Rey",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Cullerton, Timothy M.",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Daley, Vi",confirmed
"Committee on Committees, Rules and Ethics",2011-03-09T15:00:00+00:00,"Brookins, Jr., Howard",confirmed
